,BRD-K28862419_0.3704 uM,BRD-K28862419_1.1111 uM,BRD-K28862419_3.3333 uM,BRD-K28862419_10 uM,BRD-K34692511_0.3704 uM,BRD-K34692511_1.1111 uM,BRD-K34692511_3.3333 uM,BRD-K34692511_10 uM,N-Benzylquinazolin-4-amine_0.3704 uM,N-Benzylquinazolin-4-amine_1.1111 uM,N-Benzylquinazolin-4-amine_3.3333 uM,N-Benzylquinazolin-4-amine_10 uM
ACH-000001,0.007063438,0.134107477,-0.097368306,0.130213476,-0.051366651,0.098850327,0.063939261,0.266987247,0.048860103,-0.199252144,-0.401070467,-0.747971679
ACH-000002,0.288542921,-0.035449519,-0.101085308,0.082771448,0.361175849,0.364206549,-0.339854943,0.408353762,-0.229138596,0.248910576,-0.058706376,-0.519322141
ACH-000004,-0.093199268,-0.142527861,0.133208941,0.05115958,0.004335906,-0.045190353,-0.344900551,-0.226340484,-0.043131359,0.08518701,-0.653886117,-1.493885053
ACH-000005,0.134903119,0.142738472,0.123734193,0.022890823,-0.308795378,0.023056814,-1.33446901,-0.022382773,0.40171491,0.030524212,-1.018409679,-1.018108821
ACH-000006,0.23036055,0.27272604,0.783852339,0.10705125,0.218419006,0.328057667,0.104604214,0.396474461,-0.440940695,0.590416308,0.32721373,0.148709642
ACH-000007,0.199916765,-0.529634125,0.262464871,-0.141780954,-0.060626907,0.097393245,0.026434176,0.073308225,0.204271892,-0.22782189,-0.067942254,-0.47464794
ACH-000008,0.016929686,0.178302239,0.199300354,0.072191995,0.515632141,-0.001621511,0.201633309,-0.143554495,-0.19959936,-0.137205662,-0.674562878,-0.929171642
ACH-000011,-0.04198796,-0.12087705,0.084858591,0.049994638,0.248527285,-0.16393017,-0.213044341,0.069133422,-0.827566747,0.183875631,-0.226668463,-1.61111593
ACH-000012,-0.624771799,-0.249915913,-0.299796577,0.332956611,0.303132666,0.239641679,-0.132793525,-0.273317299,-0.466313818,-0.448456914,-1.004973339,-2.818381565
ACH-000013,-0.828159218,-0.667983722,0.089237907,0.003439605,0.150850497,0.109335186,0.533700316,-0.271525597,-0.044964885,0.16855129,-0.060553674,-0.094602852
ACH-000014,-0.125743999,-0.141986498,-0.415038158,-0.028160623,0.00698854,0.008376421,0.008408589,-0.096881892,-0.154548574,-0.090449657,-0.396148478,-0.844959009
ACH-000015,0.128124055,0.008598018,-0.335431171,-0.373332085,-0.431011875,-0.824370349,-0.379902071,-0.264112433,0.110524648,0.279864031,-1.085446824,-0.547631198
ACH-000018,-0.127261427,-0.040672673,0.155809015,-0.092466846,0.043170535,0.170542259,-0.084090153,-0.182120633,0.078362476,0.124341401,0.08893507,-0.29914199
ACH-000019,-0.009895711,0.032858826,0.386758658,0.264331199,-0.311448552,0.239399472,-0.357906901,-0.237385397,0.170374032,-0.129913777,-0.755494545,-0.906454976
ACH-000021,-0.219465639,0.175193638,0.03094463,-0.498246802,0.045479893,-0.203441299,-0.226449964,-0.957353753,0.105618225,-0.277580214,0.123820974,-0.086676492
ACH-000022,-0.105638965,-0.088769575,0.104960316,-0.303989153,-0.44744189,0.250979553,-0.818852239,-0.297152204,-0.628122265,0.447624951,-0.493480813,0.049354673
ACH-000023,0.149376471,0.055106762,0.092202769,-0.19920278,0.102375573,-0.05868009,-0.399595661,0.283578084,0.17549236,-0.182701589,-0.687735499,-1.641045051
ACH-000025,0.259292298,0.105729756,0.076414208,-0.232817187,0.114488622,-0.094357369,-0.298277455,-0.921435048,0.124228665,-0.165457725,-0.376232049,-0.580030184
ACH-000026,0.343051065,-0.305126965,0.6207142,-0.624249787,0.296694364,0.142658343,0.01367112,0.179323958,-0.561322296,-0.248724055,-0.337663398,-1.064708477
ACH-000027,0.117778018,0.101721545,-0.088311527,-0.210143475,0.444376212,0.552209386,0.100025598,0.107947026,-0.341943066,-0.16019564,-0.678039739,-0.82317355
ACH-000030,0.270662436,-0.244181565,-0.487190003,-0.781784349,-0.174265144,0.178956027,-0.053088401,-0.205981573,-0.237326498,-0.460540136,-1.002658464,-1.344596556
ACH-000035,0.240608842,0.279741697,0.339730053,0.109354798,0.05624292,0.214060657,0.196641374,0.363067795,0.349828151,0.254570016,-0.418746685,-0.79312806
ACH-000036,-0.544032548,0.185453813,0.17295862,0.465973083,0.467129239,-0.196270457,0.352915251,0.319507244,-0.188081034,0.287392951,-0.901082407,-0.581198921
ACH-000037,0.35751967,-0.391336792,0.009417152,-0.411823117,0.092576491,-0.262742565,-0.319331342,-1.413601415,0.034773852,-0.363110429,-0.613788773,-1.463797253
ACH-000039,-0.116700171,-0.156312877,0.415402061,0.195422471,0.381026033,-0.213683711,0.223346813,-0.238676791,0.028440988,-0.289685804,-0.550865573,-0.499208027
ACH-000040,0.537877954,-0.07025921,-0.204601097,-0.554944039,-0.416038154,0.359178882,-0.185938254,0.207187829,-0.207825475,0.465566686,-0.195983065,-0.746810722
ACH-000041,0.231063554,-0.134017491,-0.095913211,0.260539465,0.660752979,0.430623537,0.738510249,0.356597544,0.20402572,0.060358478,-0.55015405,-0.11311856
ACH-000042,-1.202523984,-0.192804254,-0.349207544,-0.251409328,0.299529851,-0.302027366,-0.445805938,-0.181462056,-0.028732216,0.731117803,-0.430382676,-0.710872428
ACH-000046,0.360973848,0.028362816,-0.212510287,-0.119223196,0.365068484,-0.018901702,-0.578034557,-0.21176329,0.142786162,-0.014510933,-0.376935008,-0.910645367
