idCDP,BROAD_CPD_ID,CPD_ID,CPD_NAME,CPD_NAME_TYPE,cpd_type,CBP_SMILES
1,BRD-K59962020,350548,BRD2020,BROAD_PUB_ID,NOM,Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C
2,BRD-K15888437,344092,BRD-K15888437,BROAD_CPD_ID,MLP,CCc1cc2c(cc1OC(C)=O)oc(C)c(-c1nc3ccccc3n1C)c2=O
3,BRD-K19499941,148013,BRD-K19499941,BROAD_CPD_ID,MLP,CCCCCCCN(C(=O)CCl)c1cccc(C)c1
4,BRD-K03704870,18693,BRD-K03704870,BROAD_CPD_ID,NOM,CCc1ccc(OCC(=O)Nc2nnc[nH]2)cc1
5,BRD-K26503698,223947,BRD-K26503698,BROAD_CPD_ID,NOM,CN(C)Cc1c(nnn1-c1nonc1N)C(=O)NN=Cc1ccccc1OCc1ccc(F)cc1
6,BRD-A17664363,630382,BRD-A17664363,BROAD_CPD_ID,MLP,CCOC(=O)C(C)Oc1cccc2c1ccn(CC(=O)Nc1ccc(OC)cc1)c2=O
7,BRD-K96352593,190671,BRD-K96352593,BROAD_CPD_ID,MLP,Cc1cc(c(C)n1-c1ccccc1)-c1nnc2CCCCCn12
8,BRD-A22502911,306136,BRD-A22502911,BROAD_CPD_ID,NOM,Cc1ccc2NC(=O)CN(C(c3ccccc3)c2c1)C(=O)c1c(F)cccc1Cl
9,BRD-K70584304,145327,BRD-K70584304,BROAD_CPD_ID,NOM,CN(c1ccc(C)cc1)S(=O)(=O)c1cccc(c1)C(=O)Nc1nc2ccccc2[nH]1
10,BRD-A91823394,199262,BRD-A91823394,BROAD_CPD_ID,NOM,O=C(NN=Cc1ccc[nH]1)C1COc2ccccc2O1
11,BRD-K61237522,156785,BRD-K61237522,BROAD_CPD_ID,NOM,Cc1ccc(NC(=O)CCC(=O)NN=Cc2ccco2)c(C)c1
12,BRD-K77214724,327527,BRD-K77214724,BROAD_CPD_ID,NOM,Cc1ccc(cc1C)S(=O)(=O)NC1CCCC1
13,BRD-K18749194,630153,BRD-K18749194,BROAD_CPD_ID,MLP,CC=CCn1c(SCCCc2ccccc2)nc2n(C)c(=O)[nH]c(=O)c12
14,BRD-K05789358,239942,BRD-K05789358,BROAD_CPD_ID,NOM,Cc1c(nnn1-c1nonc1N)C(=O)NN=Cc1ccc(OCc2cccc(C)c2)cc1
15,BRD-K08799912,560742,BRD-K08799912,BROAD_CPD_ID,NOM,Nc1nc2ccccc2n1S(=O)(=O)c1ccc(Cl)cc1
